A_bal,D_cred,P_st_cred,Cred_am,Val_sa_st,Len_emp,Ins_perc ,D_addr,Age,Class*
1,24,1,6314,2,1,4,2,27,1
3,30,3,3496,5,3,4,2,34,1
1,48,3,3609,2,3,1,1,27,1
2,12,1,4843,2,5,3,4,43,2
4,30,1,3017,2,5,4,4,47,1
1,24,1,4139,3,3,3,3,27,1
1,36,2,5742,3,4,2,2,31,1
1,60,2,10366,2,5,2,4,42,1
1,6,1,2080,4,3,1,2,24,1
1,21,0,2580,4,2,4,2,41,2
1,30,1,4530,2,4,4,4,26,1
1,24,1,5150,2,5,4,4,33,1
3,72,2,5595,3,3,2,2,24,2
2,24,2,2384,2,5,4,4,64,1
1,18,2,1453,2,2,3,1,26,1
1,6,2,1538,2,2,1,2,56,1
1,12,2,2279,1,3,4,4,37,1
1,15,0,1478,2,3,4,3,33,1
1,24,1,5103,2,2,3,3,47,1
3,36,0,9857,3,4,1,3,31,1
1,60,2,6527,1,3,4,4,34,1
4,10,1,1347,1,4,4,2,27,1
3,36,0,2862,3,5,4,3,30,1
1,9,2,2753,3,5,3,4,35,1
2,12,2,3651,5,3,1,3,31,1
2,15,1,975,2,3,2,3,25,1
3,15,2,2631,3,3,3,2,25,1
3,24,2,2896,3,2,2,1,29,1
2,6,1,4716,1,2,1,3,44,1
1,24,2,2284,2,4,4,2,28,1
1,6,2,1236,4,3,2,4,50,1
3,12,2,1103,2,4,4,3,29,1
1,12,1,926,2,1,1,2,38,1
1,18,1,1800,2,3,4,2,24,1
4,15,2,1905,2,5,4,4,40,1
1,12,2,1123,4,3,4,4,29,2
2,48,1,6331,2,5,4,4,46,2
4,24,2,1377,3,5,4,2,47,1
3,30,0,2503,3,5,4,2,41,1
3,27,2,2528,2,2,4,1,32,1
1,15,2,5324,4,5,1,4,35,1
3,48,2,6560,3,4,3,2,24,2
3,12,4,2969,2,2,4,3,25,2
3,9,2,1206,2,5,4,4,25,1
3,9,2,2118,2,3,2,2,37,1
1,18,1,629,4,5,4,3,32,1
2,6,3,1198,2,5,4,4,35,2
1,21,2,2476,1,5,4,4,46,1
2,9,1,1138,2,3,4,4,25,1
3,60,2,14027,2,4,4,2,27,2
1,30,1,7596,1,5,1,4,63,1
1,30,1,3077,1,5,3,2,40,1
1,18,2,1505,2,3,4,2,32,1
4,24,1,3148,1,3,3,2,31,1
3,20,4,6148,3,5,3,4,31,1
4,9,4,1337,2,2,4,2,34,2
3,6,3,433,5,2,4,2,24,2
2,12,2,1228,2,3,4,2,24,2
3,9,2,790,4,3,4,3,66,1
1,27,2,2570,2,3,3,3,21,2
1,6,1,250,5,3,2,2,41,1
1,15,1,1316,4,3,2,2,47,1
2,18,2,1882,2,3,4,4,25,2
3,48,3,6416,2,5,4,3,59,2
4,24,1,1275,5,3,2,4,36,1
3,24,0,6403,2,2,1,2,33,1
2,24,2,1987,2,3,2,4,21,2
3,8,2,760,2,4,4,2,44,1
1,24,2,2603,5,3,2,4,28,1
1,4,1,3380,2,4,1,1,37,1
3,36,3,3990,1,2,3,2,29,1
3,24,2,11560,2,3,1,4,23,2
2,18,2,4380,3,3,3,4,35,1
1,6,1,6761,2,4,1,3,45,1
3,30,4,4280,3,3,4,4,26,2
2,24,3,2325,3,4,2,3,32,1
3,10,3,1048,2,3,4,4,23,1
1,21,2,3160,1,5,4,3,41,1
2,24,3,2483,4,3,4,4,22,1
2,39,1,14179,1,4,4,4,30,1
2,13,1,1797,2,2,3,1,28,1
2,15,2,2511,2,1,1,4,23,1
2,12,2,1274,2,2,3,1,37,2
1,21,2,5248,1,3,1,3,26,1
1,15,2,3029,2,4,2,2,33,1
2,6,2,428,2,5,2,1,49,1
2,18,2,976,2,2,1,2,23,2
3,12,2,841,3,4,2,4,23,1
1,30,1,5771,2,4,4,2,25,1
1,12,0,1555,5,5,4,4,55,2
2,24,2,1285,1,4,4,4,32,2
4,6,1,1299,2,3,1,1,74,1
4,15,1,1271,1,3,3,4,39,2
1,24,2,1393,2,3,2,2,31,1
2,12,1,691,2,5,4,3,35,2
1,15,1,5045,1,5,1,4,59,1
2,18,1,2124,2,3,4,4,24,2
2,12,2,2214,2,3,4,3,24,1
1,21,1,12680,1,5,4,4,30,2
1,24,1,2463,3,4,4,3,27,1
3,12,2,1155,2,5,3,3,40,1
2,30,2,3108,2,2,2,4,31,2
1,10,2,2901,1,2,1,4,31,1
3,12,1,3617,2,5,1,4,28,1
1,12,1,1655,2,5,2,4,63,1
2,24,2,2812,1,5,2,4,26,1
2,36,1,8065,2,3,3,2,25,2
1,21,1,3275,2,5,1,4,36,1
1,24,1,2223,3,5,4,4,52,1
4,12,1,1480,4,1,2,4,66,1
2,24,2,1371,1,3,4,4,25,2
1,36,1,3535,2,4,4,4,37,1
2,18,2,3509,2,4,4,1,25,1
1,36,1,5711,5,5,4,2,38,1
3,18,2,3872,2,1,2,4,67,1
3,39,1,4933,2,4,2,2,25,2
1,24,1,1940,5,5,4,4,60,1
3,12,4,1410,2,3,2,2,31,1
3,12,2,836,3,2,4,2,23,2
3,20,2,6468,1,1,1,4,60,1
3,18,2,1941,5,3,4,2,35,1
1,22,2,2675,4,5,3,4,40,1
1,48,1,2751,1,5,4,3,38,1
3,48,0,6224,2,5,4,4,50,2
2,40,1,5998,2,3,4,3,27,2
3,21,2,1188,2,5,2,4,39,2
1,24,2,6313,1,5,3,4,41,1
1,6,1,1221,1,3,1,2,27,1
4,24,2,2892,2,5,3,4,51,1
1,24,2,3062,4,5,4,3,32,1
1,9,2,2301,3,2,2,4,22,1
2,18,2,7511,1,5,1,4,51,2
1,12,1,1258,2,2,2,4,22,1
1,24,0,717,1,5,4,4,54,1
3,9,2,1549,1,2,4,2,35,1
1,24,1,1597,2,5,4,4,54,1
3,18,1,1795,2,5,3,4,48,1
2,20,1,4272,2,5,1,4,24,1
1,12,1,976,1,5,4,4,35,1
3,12,2,7472,1,1,1,2,24,1
2,36,2,9271,2,4,2,1,24,2
3,6,2,590,2,2,3,3,26,1
1,12,1,930,1,5,4,4,65,1
3,42,3,9283,2,1,1,2,55,1
3,15,4,1778,2,2,2,1,26,2
3,8,2,907,2,2,3,2,26,1
3,6,2,484,2,4,3,3,28,1
2,36,1,9629,2,4,4,4,24,2
2,48,2,3051,2,3,3,4,54,2
2,48,2,3931,2,4,4,4,46,2
3,36,0,7432,2,3,2,2,54,1
1,6,2,1338,4,3,1,4,62,1
1,6,1,1554,2,4,1,2,24,1
2,36,2,15857,2,1,2,3,43,1
2,18,2,1345,2,3,4,3,26,2
1,12,2,1101,2,3,3,2,27,1
4,12,2,3016,2,3,3,1,24,1
2,36,2,2712,2,5,2,2,41,2
2,8,1,731,2,5,4,4,47,1
1,18,1,3780,2,2,3,2,35,1
2,21,1,1602,2,5,4,3,30,1
2,18,1,3966,2,5,1,4,33,2
1,18,4,4165,2,3,2,2,36,2
2,36,2,8335,1,5,3,4,47,2
3,48,0,6681,1,3,4,4,38,1
1,24,0,2375,4,3,4,2,44,1
2,18,2,1216,2,2,4,3,23,2
2,45,4,11816,2,5,2,4,29,2
3,24,2,5084,1,5,2,4,42,1
4,15,2,2327,2,2,2,3,25,2
2,12,4,1082,2,3,4,4,48,2
1,12,2,886,1,3,4,2,21,1
1,4,2,601,2,2,1,3,23,1
2,24,1,2957,2,5,4,4,63,1
1,24,1,2611,2,5,4,3,46,1
2,36,2,5179,2,4,4,2,29,2
1,21,0,2993,2,3,3,2,28,1
1,18,2,1943,2,2,4,4,23,2
1,24,3,1559,2,4,4,4,50,1
1,18,2,3422,2,5,4,4,47,1
3,21,2,3976,1,4,2,3,35,1
1,18,2,6761,1,3,2,4,68,2
1,24,2,1249,2,2,4,2,28,1
2,9,2,1364,2,4,3,4,59,1
2,12,2,709,2,5,4,4,57,2
2,20,1,2235,2,3,4,2,33,2
1,24,1,4042,1,4,3,4,43,1
1,15,1,1471,2,3,4,4,35,1
2,18,3,1442,2,4,4,4,32,2
1,36,0,10875,2,5,2,2,45,1
1,24,2,1474,3,2,4,3,33,1
1,10,2,894,1,4,4,3,40,1
1,15,1,3343,2,3,4,2,28,1
2,15,2,3959,2,3,3,2,29,2
1,9,2,3577,3,3,1,2,26,1
1,24,1,5804,5,3,4,2,27,1
1,18,0,2169,2,3,4,2,28,2
2,24,2,2439,2,2,4,4,35,2
1,27,1,4526,5,2,4,2,32,1
1,10,2,2210,2,3,2,2,25,2
1,15,2,2221,4,3,2,4,20,1
2,18,2,2389,2,2,4,1,27,1
1,12,1,3331,2,5,2,4,42,1
1,36,2,7409,1,5,3,2,37,1
2,12,2,652,2,5,4,4,24,1
1,36,0,7678,4,4,2,4,40,1
4,6,1,1343,2,5,1,4,46,1
2,24,1,1382,3,4,4,1,26,1
1,15,2,874,1,2,4,1,24,1
2,12,2,3590,2,3,2,2,29,1
3,11,1,1322,5,3,4,4,40,1
2,18,3,1940,2,2,3,4,36,1
1,36,2,3595,2,5,4,2,28,1
2,9,2,1422,2,2,3,2,27,2
1,30,1,6742,1,4,2,3,36,1
1,24,2,7814,2,4,3,3,38,1
1,24,2,9277,1,3,2,4,48,1
3,30,1,2181,1,5,4,4,36,1
1,18,1,1098,2,1,4,4,65,1
3,24,2,4057,2,4,3,3,43,2
2,12,2,795,2,2,4,4,53,2
3,24,1,2825,1,4,4,3,34,1
3,48,2,15672,2,3,2,2,23,2
1,36,1,6614,2,5,4,4,34,1
1,28,3,7824,1,2,3,4,40,1
2,27,1,2442,2,5,4,4,43,1
1,15,1,1829,2,5,4,4,46,1
2,12,1,2171,2,3,4,4,38,1
3,36,1,5800,2,3,3,4,34,1
1,18,1,1169,1,3,4,3,29,1
1,36,0,8947,1,4,3,2,31,1
2,21,2,2606,2,2,4,4,28,1
1,12,1,1592,5,4,3,2,35,1
1,15,2,2186,1,4,1,4,33,1
2,18,2,4153,2,3,2,3,42,2
2,16,1,2625,2,5,2,4,43,2
1,20,1,3485,1,2,2,4,44,1
1,36,1,10477,1,5,2,4,42,1
1,15,2,1386,1,3,4,2,40,1
1,24,2,1278,2,5,4,1,36,1
2,12,2,1107,2,3,2,2,20,1
2,21,2,3763,1,4,2,2,24,1
3,36,2,3711,1,3,2,2,27,1
1,15,0,3594,2,2,1,2,46,1
3,9,2,3195,1,3,1,2,33,1
1,36,0,4454,2,3,4,4,34,1
3,24,1,4736,2,2,2,4,25,2
3,30,2,2991,1,5,2,4,25,1
1,11,2,2142,5,5,1,2,28,1
2,24,3,3161,2,3,4,2,31,2
3,48,4,18424,2,3,1,2,32,2
1,10,2,2848,3,3,1,2,32,1
2,6,2,14896,2,5,1,4,68,2
2,24,2,2359,3,1,1,1,33,2
2,24,2,3345,2,5,4,2,39,2
1,18,1,1817,2,3,4,2,28,1
1,48,0,12749,4,4,4,1,37,1
2,9,2,1366,2,2,3,4,22,2
3,12,2,2002,2,4,3,4,30,1
2,24,3,6872,2,2,2,1,55,2
2,12,3,697,2,2,4,2,46,2
2,18,1,1049,2,2,4,4,21,1
2,48,2,10297,2,4,4,4,39,2
1,30,2,1867,1,5,4,4,58,1
2,12,0,1344,2,3,4,2,43,1
2,24,2,1747,2,2,4,1,24,1
3,9,2,1670,2,2,4,2,22,2
1,9,1,1224,2,3,3,1,30,1
1,12,1,522,4,5,4,4,42,1
2,12,2,1498,2,3,4,1,23,1
3,30,0,1919,3,2,4,3,30,2
4,9,2,745,2,3,3,2,28,2
3,6,2,2063,2,2,4,3,30,1
3,60,2,6288,2,3,4,4,42,2
1,24,1,6842,1,3,2,4,46,1
1,12,2,3527,1,2,2,3,45,1
1,10,2,1546,2,3,3,2,31,1
1,24,2,929,1,4,4,2,31,1
1,4,1,1455,2,4,2,1,42,1
2,15,2,1845,2,2,4,1,46,1
3,48,4,8358,4,2,1,1,30,1
2,24,3,3349,4,2,4,4,30,2
1,12,2,2859,1,1,4,4,38,1
1,18,2,1533,2,2,4,1,43,2
1,24,2,3621,3,5,2,4,31,2
3,18,1,3590,2,1,3,3,40,1
2,36,0,2145,2,4,2,1,24,2
3,24,2,4113,4,2,3,4,28,2
1,36,2,10974,2,1,4,2,26,2
2,12,2,1893,2,3,4,4,29,1
2,24,1,1231,5,5,4,4,57,1
4,30,1,3656,1,5,4,4,49,1
3,9,1,1154,2,5,2,4,37,1
2,28,2,4006,2,3,3,2,45,2
3,24,2,3069,3,5,4,4,30,1
1,6,1,1740,2,5,2,2,30,1
3,21,0,2353,2,3,1,4,47,1
1,15,2,3556,1,3,3,2,29,1
1,24,2,2397,4,5,3,2,35,2
3,6,2,454,2,2,3,1,22,1
3,30,2,1715,1,3,4,1,26,1
3,27,1,2520,4,3,4,2,23,2
1,15,2,3568,2,5,4,2,54,1
1,42,2,7166,1,4,2,4,29,1
2,11,1,3939,2,3,1,2,40,1
3,15,2,1514,3,3,4,2,22,1
1,24,2,7393,2,3,1,4,43,1
2,24,3,1193,2,1,1,4,29,2
2,60,2,7297,2,5,4,4,36,2
1,30,1,2831,2,3,4,2,33,1
4,24,2,1258,4,3,3,3,57,1
3,6,2,753,2,3,2,3,64,1
3,18,0,2427,1,5,4,2,42,1
1,24,0,2538,2,5,4,4,47,2
3,15,3,1264,3,3,2,2,25,2
3,30,1,8386,2,4,2,2,49,2
1,48,2,4844,2,1,3,2,33,2
4,21,2,2923,3,3,1,1,28,1
2,36,2,8229,2,3,2,2,26,2
1,24,1,2028,2,4,2,2,30,1
2,15,1,1433,2,3,4,3,25,1
4,42,4,6289,2,2,2,1,33,1
1,13,2,1409,3,1,2,4,64,1
2,24,2,6579,2,1,4,2,29,1
3,24,1,1743,2,5,4,2,48,1
1,12,1,3565,1,2,2,1,37,1
1,15,3,1569,3,5,4,4,34,1
2,18,2,1936,1,4,2,4,23,1
2,36,2,3959,2,1,4,3,30,1
1,12,2,2390,1,5,4,3,50,1
1,12,2,1736,2,4,3,4,31,1
2,30,2,3857,2,3,4,4,40,1
1,12,2,804,2,5,4,4,38,1
2,45,2,1845,2,3,4,4,23,2
3,45,1,4576,3,1,3,4,27,1
